nameWithOwner,url,stargazerCount,primaryLanguage,mergedAndClosedPRsCount,prDataCollected
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,499220,Markdown,343,true
sindresorhus/awesome,https://github.com/sindresorhus/awesome,462863,,2370,true
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,444197,TypeScript,44896,true
public-apis/public-apis,https://github.com/public-apis/public-apis,432085,Python,3261,true
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,387736,Python,11626,true
openclaw/openclaw,https://github.com/openclaw/openclaw,368583,TypeScript,38350,true
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,354221,TypeScript,5983,true
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,347094,Python,372,true
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,345661,,1012,true
vinta/awesome-python,https://github.com/vinta/awesome-python,296056,Python,2395,false
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,290349,,3043,true
996icu/996.ICU,https://github.com/996icu/996.ICU,276139,,1991,true
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,264915,,383,true
facebook/react,https://github.com/facebook/react,244815,JavaScript,19007,true
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,220775,Python,11387,true
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,218834,,242,true
vuejs/vue,https://github.com/vuejs/vue,209764,TypeScript,2369,true
ossu/computer-science,https://github.com/ossu/computer-science,203555,HTML,513,true
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,195926,JavaScript,574,true
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,195001,C++,68911,true
n8n-io/n8n,https://github.com/n8n-io/n8n,186769,TypeScript,19623,true
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,186713,Shell,7652,true
microsoft/vscode,https://github.com/microsoft/vscode,184581,TypeScript,54606,true
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,184423,,897,true
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,184314,,562,true
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,184003,Python,7771,true
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,182143,Jupyter Notebook,216,true
obra/superpowers,https://github.com/obra/superpowers,179134,Shell,562,true
flutter/flutter,https://github.com/flutter/flutter,176173,Dart,70859,true
twbs/bootstrap,https://github.com/twbs/bootstrap,174219,MDX,16034,true
affaan-m/everything-claude-code,https://github.com/affaan-m/everything-claude-code,173775,JavaScript,999,true
github/gitignore,https://github.com/github/gitignore,173688,,4673,true
avelino/awesome-go,https://github.com/avelino/awesome-go,171887,Go,5131,true
ollama/ollama,https://github.com/ollama/ollama,170758,Go,4612,true
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,162730,Python,3269,true
f/prompts.chat,https://github.com/f/prompts.chat,161604,HTML,851,true
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,160831,,475,true
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,160663,Python,4178,true
huggingface/transformers,https://github.com/huggingface/transformers,160272,Python,24917,true
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,155416,Java,1577,true
anomalyco/opencode,https://github.com/anomalyco/opencode,155122,TypeScript,9021,true
airbnb/javascript,https://github.com/airbnb/javascript,148111,JavaScript,1637,true
langflow-ai/langflow,https://github.com/langflow-ai/langflow,147715,Python,8317,true
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,140202,Python,4513,true
langgenius/dify,https://github.com/langgenius/dify,140160,TypeScript,13029,true
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,139441,C,582,true
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,139338,TypeScript,587,true
vercel/next.js,https://github.com/vercel/next.js,139284,JavaScript,34920,true
x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,136729,,137,true
langchain-ai/langchain,https://github.com/langchain-ai/langchain,135846,Python,22017,true
open-webui/open-webui,https://github.com/open-webui/open-webui,135618,Python,7378,true
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,133873,Python,10153,true
golang/go,https://github.com/golang/go,133739,Go,4641,true
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,133386,Markdown,509,true
microsoft/PowerToys,https://github.com/microsoft/PowerToys,132852,C#,7601,true
anthropics/skills,https://github.com/anthropics/skills,128442,Python,200,true
Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,127694,JavaScript,1661,false
krahets/hello-algo,https://github.com/krahets/hello-algo,125901,Java,1237,true
facebook/react-native,https://github.com/facebook/react-native,125740,C++,26449,true
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,122543,TypeScript,5096,true
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,122074,Go,88320,true
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,121139,HTML,4151,true
electron/electron,https://github.com/electron/electron,121139,C++,28817,true
microsoft/markitdown,https://github.com/microsoft/markitdown,120674,Python,318,true
anthropics/claude-code,https://github.com/anthropics/claude-code,120586,Shell,449,true
nodejs/node,https://github.com/nodejs/node,117037,JavaScript,39468,false
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,116830,,440,true
iptv-org/iptv,https://github.com/iptv-org/iptv,115944,TypeScript,7835,true
clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,115820,TypeScript,1078,true
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,115439,TypeScript,2291,true
shadcn-ui/ui,https://github.com/shadcn-ui/ui,113597,TypeScript,3078,true
rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,113540,Rust,5047,true
d3/d3,https://github.com/d3/d3,112837,Shell,1201,true
rust-lang/rust,https://github.com/rust-lang/rust,112542,Rust,92239,true
mrdoob/three.js,https://github.com/mrdoob/three.js,112320,JavaScript,19537,true
Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,111634,,140,true
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,111454,Python,3489,true
godotengine/godot,https://github.com/godotengine/godot,110318,C++,50953,false
microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,110227,Jupyter Notebook,794,false
axios/axios,https://github.com/axios/axios,109026,JavaScript,2462,true
Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,108864,Python,521,true
microsoft/TypeScript,https://github.com/microsoft/TypeScript,108753,TypeScript,19120,false
ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,108407,C++,10421,true
denoland/deno,https://github.com/denoland/deno,106602,Rust,17948,true
fatedier/frp,https://github.com/fatedier/frp,106244,Go,1143,true
tauri-apps/tauri,https://github.com/tauri-apps/tauri,106221,Rust,6369,true
papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,105893,Shell,531,true
goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,105252,Dockerfile,931,true
2dust/v2rayN,https://github.com/2dust/v2rayN,104556,C#,755,true
facebook/create-react-app,https://github.com/facebook/create-react-app,103401,JavaScript,3871,true
deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,103389,Python,136,true
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,103335,Swift,1292,true
google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,103197,TypeScript,10902,true
microsoft/terminal,https://github.com/microsoft/terminal,103038,C++,5110,true
supabase/supabase,https://github.com/supabase/supabase,101891,TypeScript,20077,true
angular/angular,https://github.com/angular/angular,100045,TypeScript,35817,true
Anduin2017/HowToCook,https://github.com/Anduin2017/HowToCook,99767,JavaScript,858,true
immich-app/immich,https://github.com/immich-app/immich,99741,TypeScript,10872,true
